bill_billing_period_start,bill_billing_period_end,bill_payer_account_id,line_item_usage_start_date,line_item_usage_end_date,line_item_resource_id,product_product_name,product_region,line_item_usage_type,line_item_usage_amount,line_item_unblended_cost,line_item_blended_cost,credits_applied,line_item_net_cost,line_item_currency,line_item_account_id,linked_account_subsidiary,tags_team,tags_env
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/401677,AWSLambda,ap-southeast-1,TimedStorage-ByteHrs,15.109,0.1654,0.1654,0.0,0.1654,USD,222222222222,SubsidiaryB,Search,dev
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/662435,AmazonCloudFront,us-east-1,EBS:GP2,23.292,0.2074,0.2074,0.0,0.2074,USD,222222222222,SubsidiaryB,Search,staging
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/818239,AmazonEC2,ap-southeast-1,DataTransfer-Out-Bytes,76.527,1.4064,1.4064,0.0,1.4064,USD,333333333333,SubsidiaryC,DataPlatform,staging
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/472308,AmazonS3,ap-southeast-1,DataTransfer-Out-Bytes,20.352,0.1354,0.1354,0.0,0.1354,USD,333333333333,SubsidiaryC,Marketplace,prod
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/130552,AmazonEKS,ap-southeast-1,DataTransfer-Out-Bytes,64.139,1.7855,1.7855,0.0,1.7855,USD,333333333333,SubsidiaryC,DataPlatform,staging
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/465289,AmazonRDS,ap-southeast-1,DataTransfer-Out-Bytes,15.332,0.1611,0.1611,0.0,0.1611,USD,333333333333,SubsidiaryC,Marketplace,dev
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/880260,AWSLambda,ap-southeast-2,EBS:GP2,29.283,0.201,0.201,0.0,0.201,USD,333333333333,SubsidiaryC,Marketplace,dev
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/787794,AmazonCloudFront,us-east-1,BoxUsage:t2.micro,23.965,0.1995,0.1995,0.0,0.1995,USD,333333333333,SubsidiaryC,DataPlatform,staging
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/505008,AmazonEC2,ap-southeast-1,TimedStorage-ByteHrs,46.709,0.9413,0.9413,0.2824,0.6589,USD,444444444444,SubsidiaryD,Search,prod
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/874315,AmazonS3,ap-southeast-2,EBS:GP2,19.012,0.1903,0.1903,0.0,0.1903,USD,444444444444,SubsidiaryD,Search,staging
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/460260,AmazonEKS,ap-southeast-1,DataTransfer-Out-Bytes,67.224,1.8354,1.8354,0.0,1.8354,USD,444444444444,SubsidiaryD,Marketplace,dev
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/384951,AmazonRDS,ap-southeast-1,TimedStorage-ByteHrs,23.721,0.2695,0.2695,0.0,0.2695,USD,444444444444,SubsidiaryD,Payments,prod
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/309190,AWSLambda,ap-southeast-2,TimedStorage-ByteHrs,10.534,0.0683,0.0683,0.0,0.0683,USD,444444444444,SubsidiaryD,Marketplace,prod
2024-10-01,2025-03-31,999999999999,2024-10-01,2024-10-02,arn:aws:ec2:region:instance/187808,AmazonCloudFront,us-east-1,TimedStorage-ByteHrs,27.045,0.1997,0.1997,0.0,0.1997,USD,444444444444,SubsidiaryD,DataPlatform,dev
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/607467,AmazonEC2,ap-southeast-1,Request,84.651,2.3377,2.3377,0.0,2.3377,USD,111111111111,SubsidiaryA,Search,dev
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/706018,AmazonS3,ap-southeast-1,DataTransfer-Out-Bytes,16.094,0.1214,0.1214,0.0,0.1214,USD,111111111111,SubsidiaryA,Search,staging
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/738748,AmazonEKS,ap-southeast-1,DataTransfer-Out-Bytes,78.353,2.2703,2.2703,0.6811,1.5892,USD,111111111111,SubsidiaryA,Search,staging
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/583143,AmazonRDS,ap-southeast-1,Request,10.405,0.1056,0.1056,0.0,0.1056,USD,111111111111,SubsidiaryA,DataPlatform,dev
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/960333,AWSLambda,ap-southeast-2,DataTransfer-Out-Bytes,14.589,0.1176,0.1176,0.0,0.1176,USD,111111111111,SubsidiaryA,Payments,staging
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/283373,AmazonCloudFront,ap-southeast-2,BoxUsage:t2.micro,26.653,0.2199,0.2199,0.0,0.2199,USD,111111111111,SubsidiaryA,Search,staging
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/499072,AmazonEC2,ap-southeast-2,BoxUsage:t2.micro,68.469,2.2428,2.2428,0.0,2.2428,USD,222222222222,SubsidiaryB,Marketplace,dev
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/840652,AmazonS3,ap-southeast-2,DataTransfer-Out-Bytes,22.73,0.151,0.151,0.0,0.151,USD,222222222222,SubsidiaryB,DataPlatform,prod
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/577611,AmazonEKS,ap-southeast-2,DataTransfer-Out-Bytes,70.425,1.7038,1.7038,0.0,1.7038,USD,222222222222,SubsidiaryB,DataPlatform,staging
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/620574,AmazonRDS,ap-southeast-1,BoxUsage:t2.micro,14.588,0.0983,0.0983,0.0,0.0983,USD,222222222222,SubsidiaryB,Payments,staging
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/331585,AWSLambda,ap-southeast-1,Request,13.861,0.1103,0.1103,0.0,0.1103,USD,222222222222,SubsidiaryB,Marketplace,staging
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/708283,AmazonCloudFront,us-east-1,Request,21.159,0.2253,0.2253,0.0,0.2253,USD,222222222222,SubsidiaryB,Marketplace,staging
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/474997,AmazonEC2,ap-southeast-1,DataTransfer-Out-Bytes,57.951,1.3074,1.3074,0.3268,0.9806,USD,333333333333,SubsidiaryC,Search,prod
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/148885,AmazonS3,ap-southeast-1,Request,18.336,0.1647,0.1647,0.0,0.1647,USD,333333333333,SubsidiaryC,DataPlatform,dev
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/590095,AmazonEKS,us-east-1,EBS:GP2,85.724,2.0102,2.0102,0.0,2.0102,USD,333333333333,SubsidiaryC,Payments,staging
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/684479,AmazonRDS,ap-southeast-1,Request,15.759,0.1043,0.1043,0.0,0.1043,USD,333333333333,SubsidiaryC,DataPlatform,prod
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/163073,AWSLambda,ap-southeast-1,Request,16.711,0.1803,0.1803,0.0,0.1803,USD,333333333333,SubsidiaryC,Search,dev
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/303905,AmazonCloudFront,us-east-1,DataTransfer-Out-Bytes,16.246,0.1322,0.1322,0.0,0.1322,USD,333333333333,SubsidiaryC,Payments,prod
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/437556,AmazonEC2,ap-southeast-1,BoxUsage:t2.micro,64.947,2.2529,2.2529,0.6759,1.577,USD,444444444444,SubsidiaryD,Marketplace,prod
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/832771,AmazonS3,us-east-1,EBS:GP2,18.954,0.2146,0.2146,0.0,0.2146,USD,444444444444,SubsidiaryD,DataPlatform,prod
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/885030,AmazonEKS,ap-southeast-1,TimedStorage-ByteHrs,55.628,1.3265,1.3265,0.0,1.3265,USD,444444444444,SubsidiaryD,DataPlatform,prod
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/555714,AmazonRDS,ap-southeast-1,DataTransfer-Out-Bytes,27.027,0.2293,0.2293,0.0,0.2293,USD,444444444444,SubsidiaryD,Search,dev
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/598750,AWSLambda,ap-southeast-2,EBS:GP2,29.583,0.3316,0.3316,0.0,0.3316,USD,444444444444,SubsidiaryD,Marketplace,prod
2024-10-01,2025-03-31,999999999999,2024-10-02,2024-10-03,arn:aws:ec2:region:instance/744464,AmazonCloudFront,ap-southeast-2,BoxUsage:t2.micro,25.041,0.2894,0.2894,0.0,0.2894,USD,444444444444,SubsidiaryD,Marketplace,staging
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/721620,AmazonEC2,ap-southeast-2,Request,57.494,2.0042,2.0042,0.3006,1.7036,USD,111111111111,SubsidiaryA,DataPlatform,dev
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/539132,AmazonS3,us-east-1,BoxUsage:t2.micro,23.362,0.169,0.169,0.0,0.169,USD,111111111111,SubsidiaryA,Payments,staging
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/579834,AmazonEKS,ap-southeast-1,EBS:GP2,73.923,1.7711,1.7711,0.2657,1.5054,USD,111111111111,SubsidiaryA,Search,prod
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/829490,AmazonRDS,ap-southeast-1,DataTransfer-Out-Bytes,27.58,0.1748,0.1748,0.0,0.1748,USD,111111111111,SubsidiaryA,Marketplace,prod
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/922896,AWSLambda,ap-southeast-2,BoxUsage:t2.micro,11.511,0.0833,0.0833,0.0,0.0833,USD,111111111111,SubsidiaryA,Search,staging
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/801659,AmazonCloudFront,ap-southeast-1,EBS:GP2,23.393,0.2351,0.2351,0.0,0.2351,USD,111111111111,SubsidiaryA,Search,staging
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/231191,AmazonEC2,ap-southeast-1,EBS:GP2,65.123,2.2562,2.2562,0.0,2.2562,USD,222222222222,SubsidiaryB,Marketplace,dev
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/682149,AmazonS3,ap-southeast-2,Request,20.651,0.2374,0.2374,0.0,0.2374,USD,222222222222,SubsidiaryB,DataPlatform,staging
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/103446,AmazonEKS,ap-southeast-2,EBS:GP2,74.574,1.8119,1.8119,0.0,1.8119,USD,222222222222,SubsidiaryB,DataPlatform,dev
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/292584,AmazonRDS,us-east-1,BoxUsage:t2.micro,15.251,0.1184,0.1184,0.0,0.1184,USD,222222222222,SubsidiaryB,DataPlatform,staging
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/174038,AWSLambda,us-east-1,BoxUsage:t2.micro,13.197,0.0949,0.0949,0.0,0.0949,USD,222222222222,SubsidiaryB,Payments,prod
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/679679,AmazonCloudFront,ap-southeast-2,TimedStorage-ByteHrs,15.293,0.1631,0.1631,0.0,0.1631,USD,222222222222,SubsidiaryB,Payments,staging
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/917993,AmazonEC2,ap-southeast-2,BoxUsage:t2.micro,56.6,1.9367,1.9367,0.0,1.9367,USD,333333333333,SubsidiaryC,Payments,staging
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/206320,AmazonS3,ap-southeast-1,EBS:GP2,11.574,0.0789,0.0789,0.0,0.0789,USD,333333333333,SubsidiaryC,DataPlatform,prod
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/751247,AmazonEKS,ap-southeast-2,BoxUsage:t2.micro,70.781,1.4398,1.4398,0.0,1.4398,USD,333333333333,SubsidiaryC,DataPlatform,dev
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/445809,AmazonRDS,ap-southeast-1,Request,21.339,0.2133,0.2133,0.0,0.2133,USD,333333333333,SubsidiaryC,DataPlatform,dev
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/904624,AWSLambda,ap-southeast-2,TimedStorage-ByteHrs,20.499,0.2262,0.2262,0.0,0.2262,USD,333333333333,SubsidiaryC,Search,staging
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/506235,AmazonCloudFront,us-east-1,TimedStorage-ByteHrs,19.861,0.1407,0.1407,0.0,0.1407,USD,333333333333,SubsidiaryC,Marketplace,staging
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/283135,AmazonEC2,ap-southeast-1,EBS:GP2,83.51,1.6981,1.6981,0.0,1.6981,USD,444444444444,SubsidiaryD,DataPlatform,staging
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/124984,AmazonS3,ap-southeast-2,EBS:GP2,15.416,0.1691,0.1691,0.0,0.1691,USD,444444444444,SubsidiaryD,Marketplace,dev
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/426532,AmazonEKS,ap-southeast-2,DataTransfer-Out-Bytes,40.56,1.1269,1.1269,0.2817,0.8452,USD,444444444444,SubsidiaryD,DataPlatform,prod
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/547716,AmazonRDS,ap-southeast-2,EBS:GP2,17.029,0.1313,0.1313,0.0,0.1313,USD,444444444444,SubsidiaryD,Payments,staging
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/149642,AWSLambda,ap-southeast-2,BoxUsage:t2.micro,28.207,0.3336,0.3336,0.0,0.3336,USD,444444444444,SubsidiaryD,Payments,prod
2024-10-01,2025-03-31,999999999999,2024-10-03,2024-10-04,arn:aws:ec2:region:instance/853234,AmazonCloudFront,us-east-1,DataTransfer-Out-Bytes,23.592,0.2782,0.2782,0.0,0.2782,USD,444444444444,SubsidiaryD,Search,dev
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/660918,AmazonEC2,ap-southeast-2,Request,85.231,1.8658,1.8658,0.0,1.8658,USD,111111111111,SubsidiaryA,DataPlatform,dev
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/775098,AmazonS3,ap-southeast-1,BoxUsage:t2.micro,24.259,0.2438,0.2438,0.0,0.2438,USD,111111111111,SubsidiaryA,Marketplace,dev
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/291302,AmazonEKS,ap-southeast-2,BoxUsage:t2.micro,69.075,2.0083,2.0083,0.0,2.0083,USD,111111111111,SubsidiaryA,Search,staging
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/941895,AmazonRDS,ap-southeast-1,BoxUsage:t2.micro,10.095,0.0632,0.0632,0.0,0.0632,USD,111111111111,SubsidiaryA,Payments,dev
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/292967,AWSLambda,ap-southeast-2,Request,16.549,0.1254,0.1254,0.0,0.1254,USD,111111111111,SubsidiaryA,Marketplace,prod
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/725806,AmazonCloudFront,us-east-1,Request,23.924,0.2454,0.2454,0.0,0.2454,USD,111111111111,SubsidiaryA,Marketplace,staging
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/889486,AmazonEC2,us-east-1,EBS:GP2,65.703,1.2175,1.2175,0.0,1.2175,USD,222222222222,SubsidiaryB,Search,staging
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/783939,AmazonS3,us-east-1,TimedStorage-ByteHrs,13.963,0.1477,0.1477,0.0,0.1477,USD,222222222222,SubsidiaryB,DataPlatform,prod
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/541843,AmazonEKS,ap-southeast-1,EBS:GP2,45.924,1.2324,1.2324,0.0,1.2324,USD,222222222222,SubsidiaryB,Payments,prod
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/242392,AmazonRDS,ap-southeast-1,Request,24.698,0.1825,0.1825,0.0,0.1825,USD,222222222222,SubsidiaryB,Marketplace,staging
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/734096,AWSLambda,ap-southeast-1,Request,26.481,0.2379,0.2379,0.0,0.2379,USD,222222222222,SubsidiaryB,Search,dev
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/207074,AmazonCloudFront,ap-southeast-2,TimedStorage-ByteHrs,13.884,0.1396,0.1396,0.0,0.1396,USD,222222222222,SubsidiaryB,Marketplace,dev
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/275364,AmazonEC2,us-east-1,Request,62.145,1.1639,1.1639,0.3492,0.8147,USD,333333333333,SubsidiaryC,Search,dev
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/785796,AmazonS3,us-east-1,EBS:GP2,15.255,0.1721,0.1721,0.0,0.1721,USD,333333333333,SubsidiaryC,Payments,staging
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/769473,AmazonEKS,us-east-1,Request,68.724,1.6702,1.6702,0.0,1.6702,USD,333333333333,SubsidiaryC,Search,prod
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/515560,AmazonRDS,ap-southeast-2,BoxUsage:t2.micro,20.096,0.2106,0.2106,0.0,0.2106,USD,333333333333,SubsidiaryC,DataPlatform,prod
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/139852,AWSLambda,ap-southeast-2,DataTransfer-Out-Bytes,15.437,0.1337,0.1337,0.0,0.1337,USD,333333333333,SubsidiaryC,DataPlatform,staging
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/806074,AmazonCloudFront,ap-southeast-1,TimedStorage-ByteHrs,6.751,0.0798,0.0798,0.0,0.0798,USD,333333333333,SubsidiaryC,Search,dev
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/312161,AmazonEC2,us-east-1,Request,54.071,1.153,1.153,0.0,1.153,USD,444444444444,SubsidiaryD,Search,staging
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/382243,AmazonS3,ap-southeast-2,BoxUsage:t2.micro,23.065,0.2693,0.2693,0.0,0.2693,USD,444444444444,SubsidiaryD,DataPlatform,dev
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/642213,AmazonEKS,us-east-1,TimedStorage-ByteHrs,69.173,1.3035,1.3035,0.0,1.3035,USD,444444444444,SubsidiaryD,Marketplace,dev
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/167228,AmazonRDS,us-east-1,DataTransfer-Out-Bytes,21.474,0.183,0.183,0.0,0.183,USD,444444444444,SubsidiaryD,Payments,prod
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/476517,AWSLambda,ap-southeast-1,TimedStorage-ByteHrs,17.533,0.1566,0.1566,0.0,0.1566,USD,444444444444,SubsidiaryD,Search,prod
2024-10-01,2025-03-31,999999999999,2024-10-04,2024-10-05,arn:aws:ec2:region:instance/283408,AmazonCloudFront,ap-southeast-2,EBS:GP2,24.549,0.1605,0.1605,0.0,0.1605,USD,444444444444,SubsidiaryD,Payments,prod
2024-10-01,2025-03-31,999999999999,2024-10-05,2024-10-06,arn:aws:ec2:region:instance/569109,AmazonEC2,ap-southeast-2,BoxUsage:t2.micro,69.078,1.8011,1.8011,0.0,1.8011,USD,111111111111,SubsidiaryA,Marketplace,staging
2024-10-01,2025-03-31,999999999999,2024-10-05,2024-10-06,arn:aws:ec2:region:instance/511648,AmazonS3,ap-southeast-1,BoxUsage:t2.micro,13.367,0.1553,0.1553,0.0,0.1553,USD,111111111111,SubsidiaryA,Search,dev
2024-10-01,2025-03-31,999999999999,2024-10-05,2024-10-06,arn:aws:ec2:region:instance/624379,AmazonEKS,ap-southeast-2,TimedStorage-ByteHrs,52.12,1.1121,1.1121,0.278,0.8341,USD,111111111111,SubsidiaryA,DataPlatform,prod
2024-10-01,2025-03-31,999999999999,2024-10-05,2024-10-06,arn:aws:ec2:region:instance/435325,AmazonRDS,ap-southeast-2,EBS:GP2,23.655,0.1868,0.1868,0.0,0.1868,USD,111111111111,SubsidiaryA,Search,staging
2024-10-01,2025-03-31,999999999999,2024-10-05,2024-10-06,arn:aws:ec2:region:instance/446214,AWSLambda,us-east-1,EBS:GP2,20.034,0.1768,0.1768,0.0,0.1768,USD,111111111111,SubsidiaryA,Payments,dev
2024-10-01,2025-03-31,999999999999,2024-10-05,2024-10-06,arn:aws:ec2:region:instance/914283,AmazonCloudFront,us-east-1,DataTransfer-Out-Bytes,18.676,0.1369,0.1369,0.0,0.1369,USD,111111111111,SubsidiaryA,Payments,prod
2024-10-01,2025-03-31,999999999999,2024-10-05,2024-10-06,arn:aws:ec2:region:instance/382773,AmazonEC2,ap-southeast-2,DataTransfer-Out-Bytes,64.127,1.6702,1.6702,0.0,1.6702,USD,222222222222,SubsidiaryB,Search,dev
2024-10-01,2025-03-31,999999999999,2024-10-05,2024-10-06,arn:aws:ec2:region:instance/203330,AmazonS3,ap-southeast-1,TimedStorage-ByteHrs,14.484,0.1435,0.1435,0.0,0.1435,USD,222222222222,SubsidiaryB,DataPlatform,staging
2024-10-01,2025-03-31,999999999999,2024-10-05,2024-10-06,arn:aws:ec2:region:instance/928316,AmazonEKS,us-east-1,Request,54.004,1.7247,1.7247,0.4312,1.2935,USD,222222222222,SubsidiaryB,Search,dev
2024-10-01,2025-03-31,999999999999,2024-10-05,2024-10-06,arn:aws:ec2:region:instance/283467,AmazonRDS,ap-southeast-2,Request,18.289,0.1764,0.1764,0.0,0.1764,USD,222222222222,SubsidiaryB,Payments,dev
2024-10-01,2025-03-31,999999999999,2024-10-05,2024-10-06,arn:aws:ec2:region:instance/827940,AWSLambda,us-east-1,DataTransfer-Out-Bytes,26.55,0.2466,0.2466,0.0,0.2466,USD,222222222222,SubsidiaryB,Payments,prod
2024-10-01,2025-03-31,999999999999,2024-10-05,2024-10-06,arn:aws:ec2:region:instance/937163,AmazonCloudFront,us-east-1,TimedStorage-ByteHrs,19.075,0.1817,0.1817,0.0,0.1817,USD,222222222222,SubsidiaryB,DataPlatform,staging
