invoice_month,usage_start_time,usage_end_time,project_id,service,sku,region,resource_name,labels.env,labels.team,labels.product,usage_amount,usage_unit,list_cost,credits,net_cost,currency,commitment_type,is_spot
2024-10,2024-10-01,2024-10-02,marketplace-dev,Cloud Storage,Network Egress,asia-southeast1,mar-de-4598,dev,Marketplace,DataLake,2.834,hours,0.1984,0.0,0.1984,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-prod,BigQuery,Analysis (on-demand),asia-southeast2,mar-pr-4752,prod,Marketplace,BuyerApp,23.939,hours,0.4788,0.0,0.4788,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-staging,BigQuery,Analysis (on-demand),asia-southeast1,mar-st-5386,staging,Marketplace,BuyerApp,10.578,hours,0.2116,0.0,0.2116,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-dev,BigQuery,Analysis (on-demand),us-central1,mar-de-6155,dev,Marketplace,BuyerApp,3.265,hours,0.0653,0.0,0.0653,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-prod,BigQuery,Storage,asia-southeast1,mar-pr-3340,prod,Marketplace,SellerPortal,16.869,hours,0.253,0.0,0.253,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-staging,BigQuery,Storage,us-central1,mar-st-9830,staging,Marketplace,SellerPortal,2.871,hours,0.0431,0.0,0.0431,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-dev,BigQuery,Storage,asia-southeast1,mar-de-7543,dev,Marketplace,SellerPortal,4.358,hours,0.0654,0.0,0.0654,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-prod,Kubernetes Engine,GKE CPU,us-central1,mar-pr-9085,prod,Marketplace,BuyerApp,40.0,hours,2.0,0.3,1.7,USD,CUD,0
2024-10,2024-10-01,2024-10-02,marketplace-staging,Kubernetes Engine,GKE CPU,asia-southeast2,mar-st-3504,staging,Marketplace,DataLake,16.124,hours,0.8062,0.0,0.8062,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-dev,Kubernetes Engine,GKE CPU,us-central1,mar-de-7916,dev,Marketplace,DataLake,6.297,hours,0.3148,0.0,0.3148,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-prod,Kubernetes Engine,GKE RAM,asia-southeast1,mar-pr-1188,prod,Marketplace,DataLake,32.011,hours,0.6402,0.2241,0.4161,USD,CUD,0
2024-10,2024-10-01,2024-10-02,marketplace-staging,Kubernetes Engine,GKE RAM,us-central1,mar-st-9797,staging,Marketplace,SellerPortal,11.486,hours,0.2297,0.0,0.2297,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-dev,Kubernetes Engine,GKE RAM,asia-southeast1,mar-de-2827,dev,Marketplace,SellerPortal,7.418,hours,0.1484,0.0,0.1484,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-prod,Cloud Logging,Logs Ingestion,asia-southeast1,mar-pr-1053,prod,Marketplace,DataLake,23.419,hours,0.4684,0.0,0.4684,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-staging,Cloud Logging,Logs Ingestion,asia-southeast1,mar-st-9201,staging,Marketplace,BuyerApp,10.589,hours,0.2118,0.0,0.2118,USD,,0
2024-10,2024-10-01,2024-10-02,marketplace-dev,Cloud Logging,Logs Ingestion,asia-southeast2,mar-de-5889,dev,Marketplace,DataLake,4.808,hours,0.0962,0.0,0.0962,USD,,0
2024-10,2024-10-01,2024-10-02,payments-prod,Compute Engine,N2 Standard Core,us-central1,pay-pr-9689,prod,Payments,BuyerApp,42.591,hours,2.1296,0.3194,1.8102,USD,CUD,0
2024-10,2024-10-01,2024-10-02,payments-staging,Compute Engine,N2 Standard Core,asia-southeast2,pay-st-6947,staging,Payments,SellerPortal,15.103,hours,0.7552,0.0,0.7552,USD,,0
2024-10,2024-10-01,2024-10-02,payments-dev,Compute Engine,N2 Standard Core,us-central1,pay-de-2290,dev,Payments,BuyerApp,6.017,hours,0.3009,0.0,0.3009,USD,,1
2024-10,2024-10-01,2024-10-02,payments-prod,Compute Engine,N2 Standard RAM,asia-southeast2,pay-pr-3103,prod,Payments,DataLake,21.576,hours,0.4315,0.151,0.28049999999999997,USD,CUD,1
2024-10,2024-10-01,2024-10-02,payments-staging,Compute Engine,N2 Standard RAM,asia-southeast2,pay-st-5342,staging,Payments,DataLake,9.569,hours,0.1914,0.0,0.1914,USD,,1
2024-10,2024-10-01,2024-10-02,payments-dev,Compute Engine,N2 Standard RAM,us-central1,pay-de-4295,dev,Payments,DataLake,6.722,hours,0.1344,0.0,0.1344,USD,,0
2024-10,2024-10-01,2024-10-02,payments-prod,Compute Engine,Persistent Disk SSD,asia-southeast1,pay-pr-2982,prod,Payments,BuyerApp,7.222,hours,0.1444,0.0505,0.0939,USD,CUD,0
2024-10,2024-10-01,2024-10-02,payments-staging,Compute Engine,Persistent Disk SSD,asia-southeast2,pay-st-4770,staging,Payments,DataLake,0.178,hours,0.0036,0.0,0.0036,USD,,0
2024-10,2024-10-01,2024-10-02,payments-dev,Compute Engine,Persistent Disk SSD,us-central1,pay-de-1964,dev,Payments,BuyerApp,0.0,hours,0.0,0.0,0.0,USD,,0
2024-10,2024-10-01,2024-10-02,payments-prod,Cloud Storage,Standard Regional Storage,asia-southeast1,pay-pr-2160,prod,Payments,DataLake,31.282,hours,0.4692,0.0,0.4692,USD,,0
2024-10,2024-10-01,2024-10-02,payments-staging,Cloud Storage,Standard Regional Storage,us-central1,pay-st-8953,staging,Payments,BuyerApp,8.525,hours,0.1279,0.0,0.1279,USD,,0
2024-10,2024-10-01,2024-10-02,payments-dev,Cloud Storage,Standard Regional Storage,us-central1,pay-de-8744,dev,Payments,BuyerApp,6.005,hours,0.0901,0.0,0.0901,USD,,0
2024-10,2024-10-01,2024-10-02,payments-prod,Cloud Storage,Network Egress,asia-southeast2,pay-pr-8062,prod,Payments,SellerPortal,22.06,hours,1.5442,0.0,1.5442,USD,,0
2024-10,2024-10-01,2024-10-02,payments-staging,Cloud Storage,Network Egress,asia-southeast1,pay-st-1887,staging,Payments,DataLake,7.913,hours,0.5539,0.0,0.5539,USD,,0
2024-10,2024-10-01,2024-10-02,payments-dev,Cloud Storage,Network Egress,us-central1,pay-de-2612,dev,Payments,BuyerApp,5.704,hours,0.3993,0.0,0.3993,USD,,0
2024-10,2024-10-01,2024-10-02,payments-prod,BigQuery,Analysis (on-demand),asia-southeast1,pay-pr-2790,prod,Payments,BuyerApp,1.691,hours,0.0338,0.0,0.0338,USD,,0
2024-10,2024-10-01,2024-10-02,payments-staging,BigQuery,Analysis (on-demand),us-central1,pay-st-8350,staging,Payments,BuyerApp,0.0,hours,0.0,0.0,0.0,USD,,0
2024-10,2024-10-01,2024-10-02,payments-dev,BigQuery,Analysis (on-demand),asia-southeast1,pay-de-8579,dev,Payments,BuyerApp,0.0,hours,0.0,0.0,0.0,USD,,0
2024-10,2024-10-01,2024-10-02,payments-prod,BigQuery,Storage,us-central1,pay-pr-2604,prod,Payments,BuyerApp,24.639,hours,0.3696,0.0,0.3696,USD,,0
2024-10,2024-10-01,2024-10-02,payments-staging,BigQuery,Storage,us-central1,pay-st-1241,staging,Payments,BuyerApp,8.89,hours,0.1333,0.0,0.1333,USD,,0
2024-10,2024-10-01,2024-10-02,payments-dev,BigQuery,Storage,asia-southeast2,pay-de-3724,dev,Payments,SellerPortal,7.116,hours,0.1067,0.0,0.1067,USD,,0
2024-10,2024-10-01,2024-10-02,payments-prod,Kubernetes Engine,GKE CPU,asia-southeast1,pay-pr-1960,prod,Payments,BuyerApp,47.105,hours,2.3553,0.3533,2.0020000000000002,USD,CUD,0
2024-10,2024-10-01,2024-10-02,payments-staging,Kubernetes Engine,GKE CPU,asia-southeast1,pay-st-5345,staging,Payments,SellerPortal,15.791,hours,0.7895,0.0,0.7895,USD,,0
2024-10,2024-10-01,2024-10-02,payments-dev,Kubernetes Engine,GKE CPU,us-central1,pay-de-8973,dev,Payments,BuyerApp,8.15,hours,0.4075,0.0,0.4075,USD,,0
2024-10,2024-10-01,2024-10-02,payments-prod,Kubernetes Engine,GKE RAM,us-central1,pay-pr-1998,prod,Payments,DataLake,19.935,hours,0.3987,0.1395,0.2592,USD,CUD,0
2024-10,2024-10-01,2024-10-02,payments-staging,Kubernetes Engine,GKE RAM,asia-southeast2,pay-st-8811,staging,Payments,DataLake,6.786,hours,0.1357,0.0,0.1357,USD,,0
2024-10,2024-10-01,2024-10-02,payments-dev,Kubernetes Engine,GKE RAM,us-central1,pay-de-3579,dev,Payments,BuyerApp,7.033,hours,0.1407,0.0,0.1407,USD,,0
2024-10,2024-10-01,2024-10-02,payments-prod,Cloud Logging,Logs Ingestion,asia-southeast2,pay-pr-4044,prod,Payments,BuyerApp,29.278,hours,0.5856,0.0,0.5856,USD,,0
2024-10,2024-10-01,2024-10-02,payments-staging,Cloud Logging,Logs Ingestion,us-central1,pay-st-4853,staging,Payments,SellerPortal,9.85,hours,0.197,0.0,0.197,USD,,0
2024-10,2024-10-01,2024-10-02,payments-dev,Cloud Logging,Logs Ingestion,us-central1,pay-de-5033,dev,Payments,DataLake,3.022,hours,0.0604,0.0,0.0604,USD,,0
2024-10,2024-10-01,2024-10-02,search-prod,Compute Engine,N2 Standard Core,us-central1,sea-pr-9565,prod,Search,SellerPortal,37.996,hours,1.8998,0.6649,1.2348999999999999,USD,CUD,0
2024-10,2024-10-01,2024-10-02,search-staging,Compute Engine,N2 Standard Core,us-central1,sea-st-6147,staging,Search,BuyerApp,11.694,hours,0.5847,0.0,0.5847,USD,,0
2024-10,2024-10-01,2024-10-02,search-dev,Compute Engine,N2 Standard Core,us-central1,sea-de-5915,dev,Search,SellerPortal,7.071,hours,0.3535,0.0,0.3535,USD,,0
2024-10,2024-10-01,2024-10-02,search-prod,Compute Engine,N2 Standard RAM,asia-southeast2,sea-pr-8508,prod,Search,DataLake,14.796,hours,0.2959,0.0444,0.2515,USD,CUD,0
2024-10,2024-10-01,2024-10-02,search-staging,Compute Engine,N2 Standard RAM,asia-southeast2,sea-st-9288,staging,Search,SellerPortal,1.717,hours,0.0343,0.0,0.0343,USD,,0
2024-10,2024-10-01,2024-10-02,search-dev,Compute Engine,N2 Standard RAM,asia-southeast2,sea-de-5002,dev,Search,SellerPortal,5.044,hours,0.1009,0.0,0.1009,USD,,0
2024-10,2024-10-01,2024-10-02,search-prod,Compute Engine,Persistent Disk SSD,us-central1,sea-pr-9666,prod,Search,BuyerApp,31.597,hours,0.6319,0.2212,0.4107,USD,CUD,0
2024-10,2024-10-01,2024-10-02,search-staging,Compute Engine,Persistent Disk SSD,asia-southeast2,sea-st-3200,staging,Search,SellerPortal,13.222,hours,0.2644,0.0,0.2644,USD,,0
2024-10,2024-10-01,2024-10-02,search-dev,Compute Engine,Persistent Disk SSD,us-central1,sea-de-3546,dev,Search,SellerPortal,8.413,hours,0.1683,0.0,0.1683,USD,,0
2024-10,2024-10-01,2024-10-02,search-prod,Cloud Storage,Standard Regional Storage,us-central1,sea-pr-6617,prod,Search,BuyerApp,36.478,hours,0.5472,0.0,0.5472,USD,,0
2024-10,2024-10-01,2024-10-02,search-staging,Cloud Storage,Standard Regional Storage,asia-southeast1,sea-st-9280,staging,Search,SellerPortal,13.672,hours,0.2051,0.0,0.2051,USD,,0
2024-10,2024-10-01,2024-10-02,search-dev,Cloud Storage,Standard Regional Storage,asia-southeast2,sea-de-2512,dev,Search,DataLake,5.677,hours,0.0851,0.0,0.0851,USD,,0
2024-10,2024-10-01,2024-10-02,search-prod,Cloud Storage,Network Egress,asia-southeast2,sea-pr-5291,prod,Search,BuyerApp,9.883,hours,0.6918,0.0,0.6918,USD,,0
2024-10,2024-10-01,2024-10-02,search-staging,Cloud Storage,Network Egress,us-central1,sea-st-8007,staging,Search,DataLake,5.949,hours,0.4164,0.0,0.4164,USD,,0
2024-10,2024-10-01,2024-10-02,search-dev,Cloud Storage,Network Egress,asia-southeast2,sea-de-3442,dev,Search,DataLake,0.0,hours,0.0,0.0,0.0,USD,,0
2024-10,2024-10-01,2024-10-02,search-prod,BigQuery,Analysis (on-demand),asia-southeast1,sea-pr-3426,prod,Search,SellerPortal,20.934,hours,0.4187,0.0,0.4187,USD,,0
2024-10,2024-10-01,2024-10-02,search-staging,BigQuery,Analysis (on-demand),asia-southeast1,sea-st-6974,staging,Search,BuyerApp,6.066,hours,0.1213,0.0,0.1213,USD,,0
2024-10,2024-10-01,2024-10-02,search-dev,BigQuery,Analysis (on-demand),asia-southeast2,sea-de-5088,dev,Search,DataLake,7.137,hours,0.1427,0.0,0.1427,USD,,0
2024-10,2024-10-01,2024-10-02,search-prod,BigQuery,Storage,asia-southeast1,sea-pr-3532,prod,Search,BuyerApp,36.204,hours,0.5431,0.0,0.5431,USD,,0
2024-10,2024-10-01,2024-10-02,search-staging,BigQuery,Storage,asia-southeast2,sea-st-7755,staging,Search,BuyerApp,14.052,hours,0.2108,0.0,0.2108,USD,,0
2024-10,2024-10-01,2024-10-02,search-dev,BigQuery,Storage,asia-southeast1,sea-de-7745,dev,Search,DataLake,4.856,hours,0.0728,0.0,0.0728,USD,,0
2024-10,2024-10-01,2024-10-02,search-prod,Kubernetes Engine,GKE CPU,asia-southeast1,sea-pr-3608,prod,Search,DataLake,62.66,hours,3.133,0.4699,2.6631,USD,CUD,0
2024-10,2024-10-01,2024-10-02,search-staging,Kubernetes Engine,GKE CPU,asia-southeast2,sea-st-8711,staging,Search,BuyerApp,18.815,hours,0.9408,0.0,0.9408,USD,,0
2024-10,2024-10-01,2024-10-02,search-dev,Kubernetes Engine,GKE CPU,asia-southeast1,sea-de-6728,dev,Search,SellerPortal,10.293,hours,0.5146,0.0,0.5146,USD,,0
2024-10,2024-10-01,2024-10-02,search-prod,Kubernetes Engine,GKE RAM,asia-southeast2,sea-pr-7528,prod,Search,SellerPortal,27.022,hours,0.5404,0.1891,0.3513,USD,CUD,0
2024-10,2024-10-01,2024-10-02,search-staging,Kubernetes Engine,GKE RAM,asia-southeast2,sea-st-5573,staging,Search,SellerPortal,8.711,hours,0.1742,0.0,0.1742,USD,,0
2024-10,2024-10-01,2024-10-02,search-dev,Kubernetes Engine,GKE RAM,asia-southeast1,sea-de-9785,dev,Search,SellerPortal,6.586,hours,0.1317,0.0,0.1317,USD,,0
2024-10,2024-10-01,2024-10-02,search-prod,Cloud Logging,Logs Ingestion,asia-southeast2,sea-pr-5279,prod,Search,BuyerApp,4.341,hours,0.0868,0.0,0.0868,USD,,0
2024-10,2024-10-01,2024-10-02,search-staging,Cloud Logging,Logs Ingestion,asia-southeast1,sea-st-1626,staging,Search,BuyerApp,1.081,hours,0.0216,0.0,0.0216,USD,,0
2024-10,2024-10-01,2024-10-02,search-dev,Cloud Logging,Logs Ingestion,asia-southeast1,sea-de-6139,dev,Search,SellerPortal,0.921,hours,0.0184,0.0,0.0184,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-prod,Compute Engine,N2 Standard Core,asia-southeast2,dat-pr-5173,prod,DataPlatform,BuyerApp,39.91,hours,1.9955,0.6984,1.2971,USD,CUD,1
2024-10,2024-10-01,2024-10-02,dataplatform-staging,Compute Engine,N2 Standard Core,us-central1,dat-st-4228,staging,DataPlatform,SellerPortal,11.22,hours,0.561,0.0,0.561,USD,,1
2024-10,2024-10-01,2024-10-02,dataplatform-dev,Compute Engine,N2 Standard Core,us-central1,dat-de-6409,dev,DataPlatform,DataLake,5.54,hours,0.277,0.0,0.277,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-prod,Compute Engine,N2 Standard RAM,us-central1,dat-pr-5920,prod,DataPlatform,DataLake,13.573,hours,0.2715,0.0407,0.2308,USD,CUD,0
2024-10,2024-10-01,2024-10-02,dataplatform-staging,Compute Engine,N2 Standard RAM,asia-southeast1,dat-st-7592,staging,DataPlatform,DataLake,5.409,hours,0.1082,0.0,0.1082,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-dev,Compute Engine,N2 Standard RAM,asia-southeast2,dat-de-7888,dev,DataPlatform,DataLake,2.845,hours,0.0569,0.0,0.0569,USD,,1
2024-10,2024-10-01,2024-10-02,dataplatform-prod,Compute Engine,Persistent Disk SSD,asia-southeast1,dat-pr-9977,prod,DataPlatform,BuyerApp,11.172,hours,0.2234,0.0558,0.16759999999999997,USD,CUD,0
2024-10,2024-10-01,2024-10-02,dataplatform-staging,Compute Engine,Persistent Disk SSD,asia-southeast1,dat-st-6279,staging,DataPlatform,SellerPortal,2.389,hours,0.0478,0.0,0.0478,USD,,1
2024-10,2024-10-01,2024-10-02,dataplatform-dev,Compute Engine,Persistent Disk SSD,asia-southeast2,dat-de-9375,dev,DataPlatform,SellerPortal,1.749,hours,0.035,0.0,0.035,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-prod,Cloud Storage,Standard Regional Storage,asia-southeast1,dat-pr-9445,prod,DataPlatform,DataLake,1.574,hours,0.0236,0.0,0.0236,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-staging,Cloud Storage,Standard Regional Storage,asia-southeast1,dat-st-2530,staging,DataPlatform,BuyerApp,1.015,hours,0.0152,0.0,0.0152,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-dev,Cloud Storage,Standard Regional Storage,asia-southeast2,dat-de-4262,dev,DataPlatform,BuyerApp,1.161,hours,0.0174,0.0,0.0174,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-prod,Cloud Storage,Network Egress,asia-southeast2,dat-pr-8461,prod,DataPlatform,SellerPortal,27.257,hours,1.908,0.0,1.908,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-staging,Cloud Storage,Network Egress,us-central1,dat-st-4185,staging,DataPlatform,DataLake,11.909,hours,0.8336,0.0,0.8336,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-dev,Cloud Storage,Network Egress,asia-southeast1,dat-de-7547,dev,DataPlatform,BuyerApp,6.659,hours,0.4662,0.0,0.4662,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-prod,BigQuery,Analysis (on-demand),us-central1,dat-pr-1090,prod,DataPlatform,BuyerApp,19.031,hours,0.3806,0.0,0.3806,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-staging,BigQuery,Analysis (on-demand),asia-southeast2,dat-st-3881,staging,DataPlatform,DataLake,9.071,hours,0.1814,0.0,0.1814,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-dev,BigQuery,Analysis (on-demand),asia-southeast2,dat-de-5082,dev,DataPlatform,BuyerApp,4.337,hours,0.0867,0.0,0.0867,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-prod,BigQuery,Storage,us-central1,dat-pr-6198,prod,DataPlatform,SellerPortal,3.693,hours,0.0554,0.0,0.0554,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-staging,BigQuery,Storage,us-central1,dat-st-9270,staging,DataPlatform,SellerPortal,1.617,hours,0.0242,0.0,0.0242,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-dev,BigQuery,Storage,us-central1,dat-de-8305,dev,DataPlatform,BuyerApp,2.521,hours,0.0378,0.0,0.0378,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-prod,Kubernetes Engine,GKE CPU,asia-southeast1,dat-pr-5246,prod,DataPlatform,BuyerApp,56.32,hours,2.816,0.704,2.112,USD,CUD,0
2024-10,2024-10-01,2024-10-02,dataplatform-staging,Kubernetes Engine,GKE CPU,asia-southeast1,dat-st-9540,staging,DataPlatform,SellerPortal,21.239,hours,1.062,0.0,1.062,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-dev,Kubernetes Engine,GKE CPU,asia-southeast1,dat-de-8206,dev,DataPlatform,BuyerApp,11.732,hours,0.5866,0.0,0.5866,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-prod,Kubernetes Engine,GKE RAM,asia-southeast2,dat-pr-3267,prod,DataPlatform,BuyerApp,17.355,hours,0.3471,0.1215,0.22560000000000002,USD,CUD,0
2024-10,2024-10-01,2024-10-02,dataplatform-staging,Kubernetes Engine,GKE RAM,us-central1,dat-st-3503,staging,DataPlatform,DataLake,4.807,hours,0.0961,0.0,0.0961,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-dev,Kubernetes Engine,GKE RAM,asia-southeast1,dat-de-7678,dev,DataPlatform,SellerPortal,1.952,hours,0.039,0.0,0.039,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-prod,Cloud Logging,Logs Ingestion,asia-southeast1,dat-pr-2020,prod,DataPlatform,BuyerApp,13.136,hours,0.2627,0.0,0.2627,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-staging,Cloud Logging,Logs Ingestion,asia-southeast1,dat-st-1320,staging,DataPlatform,DataLake,6.505,hours,0.1301,0.0,0.1301,USD,,0
2024-10,2024-10-01,2024-10-02,dataplatform-dev,Cloud Logging,Logs Ingestion,asia-southeast2,dat-de-6763,dev,DataPlatform,SellerPortal,1.858,hours,0.0372,0.0,0.0372,USD,,0
2024-10,2024-10-02,2024-10-03,marketplace-prod,Compute Engine,N2 Standard Core,us-central1,mar-pr-9947,prod,Marketplace,DataLake,53.148,hours,2.6574,0.6643,1.9931,USD,CUD,0
2024-10,2024-10-02,2024-10-03,marketplace-staging,Compute Engine,N2 Standard Core,asia-southeast1,mar-st-8140,staging,Marketplace,SellerPortal,17.579,hours,0.879,0.0,0.879,USD,,0
2024-10,2024-10-02,2024-10-03,marketplace-dev,Compute Engine,N2 Standard Core,us-central1,mar-de-7624,dev,Marketplace,DataLake,9.419,hours,0.4709,0.0,0.4709,USD,,0
2024-10,2024-10-02,2024-10-03,marketplace-prod,Compute Engine,N2 Standard RAM,us-central1,mar-pr-9751,prod,Marketplace,BuyerApp,2.45,hours,0.049,0.0073,0.0417,USD,CUD,1
2024-10,2024-10-02,2024-10-03,marketplace-staging,Compute Engine,N2 Standard RAM,us-central1,mar-st-1444,staging,Marketplace,BuyerApp,0.694,hours,0.0139,0.0,0.0139,USD,,1
2024-10,2024-10-02,2024-10-03,marketplace-dev,Compute Engine,N2 Standard RAM,asia-southeast1,mar-de-3977,dev,Marketplace,BuyerApp,0.0,hours,0.0,0.0,0.0,USD,,0
2024-10,2024-10-02,2024-10-03,marketplace-prod,Compute Engine,Persistent Disk SSD,asia-southeast1,mar-pr-7906,prod,Marketplace,SellerPortal,13.96,hours,0.2792,0.0698,0.2094,USD,CUD,0
2024-10,2024-10-02,2024-10-03,marketplace-staging,Compute Engine,Persistent Disk SSD,us-central1,mar-st-9837,staging,Marketplace,BuyerApp,5.072,hours,0.1014,0.0,0.1014,USD,,0
2024-10,2024-10-02,2024-10-03,marketplace-dev,Compute Engine,Persistent Disk SSD,asia-southeast2,mar-de-1659,dev,Marketplace,BuyerApp,1.345,hours,0.0269,0.0,0.0269,USD,,0
2024-10,2024-10-02,2024-10-03,marketplace-prod,Cloud Storage,Standard Regional Storage,asia-southeast2,mar-pr-3496,prod,Marketplace,BuyerApp,22.946,hours,0.3442,0.0,0.3442,USD,,0
2024-10,2024-10-02,2024-10-03,marketplace-staging,Cloud Storage,Standard Regional Storage,us-central1,mar-st-2874,staging,Marketplace,DataLake,6.42,hours,0.0963,0.0,0.0963,USD,,0
2024-10,2024-10-02,2024-10-03,marketplace-dev,Cloud Storage,Standard Regional Storage,asia-southeast1,mar-de-5198,dev,Marketplace,SellerPortal,7.636,hours,0.1145,0.0,0.1145,USD,,0
2024-10,2024-10-02,2024-10-03,marketplace-prod,Cloud Storage,Network Egress,asia-southeast2,mar-pr-3683,prod,Marketplace,SellerPortal,28.24,hours,1.9768,0.0,1.9768,USD,,0
2024-10,2024-10-02,2024-10-03,marketplace-staging,Cloud Storage,Network Egress,asia-southeast2,mar-st-6111,staging,Marketplace,DataLake,7.012,hours,0.4908,0.0,0.4908,USD,,0
2024-10,2024-10-02,2024-10-03,marketplace-dev,Cloud Storage,Network Egress,asia-southeast1,mar-de-7498,dev,Marketplace,DataLake,6.415,hours,0.449,0.0,0.449,USD,,0
2024-10,2024-10-02,2024-10-03,marketplace-prod,BigQuery,Analysis (on-demand),us-central1,mar-pr-4978,prod,Marketplace,BuyerApp,30.078,hours,0.6016,0.0,0.6016,USD,,0
2024-10,2024-10-02,2024-10-03,marketplace-staging,BigQuery,Analysis (on-demand),asia-southeast1,mar-st-2983,staging,Marketplace,DataLake,12.344,hours,0.2469,0.0,0.2469,USD,,0
2024-10,2024-10-02,2024-10-03,marketplace-dev,BigQuery,Analysis (on-demand),asia-southeast1,mar-de-9728,dev,Marketplace,SellerPortal,8.073,hours,0.1615,0.0,0.1615,USD,,0
